Context,,count,mean,std,mean - std,,min,25%,50%,75%,max,
clima,med12m_tempinst,1061451,"23,9387865666971","1,07151665716401","22,8672699095331","-0,001213433302873","21,09","23,11","23,94","24,64","28,03",
clima,med7d_tempmax,1015010,"30,8376297868765","2,94477016223632","27,8928596246402","-0,092370213123466","14,7","29,18","30,93","32,76","40,05",
clima,med1m_tempmax,1033296,"30,714694472815","2,50734391115949","28,2073505616555","-0,165305527184962","18,67","29,36","30,88","32,37","39,7",
clima,med3m_tempmax,1056202,"30,5614144737453","2,23369952796548","28,3277149457798","-0,128585526254714","23,18","29,11","30,69","32,09","40,05",
clima,med6m_tempmax,1061451,"30,41681863787","1,82349323919148","28,5933253986785","0,016818637869971","24,98","29,03","30,4","31,78","35,69",
clima,med12m_tempmax,1061451,"30,723979759782","1,35598487312159","29,3679948866604","0,323979759782024","27,24","29,74","30,4","32,02","34,56",
clima,med7d_umidmin,1016228,"42,5154214605505","12,6696225358627","29,8457989246877","-1,37457853944951",10,"33,22","43,89","51,22","82,88",
clima,med6m_prer_milho,1061451,"34,9683698258267","4,83067287033445","30,1376969554922","-1,57163017417334","27,47","29,68","36,54","39,43","40,49",
clima,med3m_prer_milho,1061451,"35,3825146991691","4,95428523888959","30,4282294602795","-2,17748530083089","26,57","30,86","37,56","39,61","41,67",
clima,med12m_prer_milho,1061451,"33,6105579721202","3,16478382214556","30,4457741499747","0,310557972120243","30,01","30,34","33,3","37,16","38,49",
clima,med1m_prer_milho,1061451,"35,5397649160725","4,87656034965767","30,6632045664148","-1,19023508392749","25,96","31,75","36,73","39,96","43,65",
clima,med7d_prer_milho,1061451,"35,6038381235368","4,81506505408973","30,7887730694471","-1,09616187646316","25,39","31,95","36,7","39,62","45,05",
clima,med1m_umidmin,1039090,"42,1606922884584","10,4757722676282","31,6849200208302","-0,839307711541629",10,"34,56",43,"49,91","78,77",
clima,med3m_umidmin,1061271,"41,11205595933","8,07566803820454","33,0363879211254","-0,597944040670051","12,73","35,11","41,71","47,31","67,15",
clima,med6m_umidmin,1061451,"41,8101046303626","5,91323668356943","35,8968679467932","-0,119895369637391","12,73","37,31","41,93","46,1","63,08",
clima,med12m_umidmin,1061451,"43,3691179809588","4,25066543003488","39,118452550924","-0,380882019041167","12,73","40,96","43,75","45,82","60,82",
clima,med7d_umidinst,1017166,"67,4079774392501","11,8955514942837","55,5124259449664","-2,43202256074996","12,25","60,53","69,84","76,26","96,71",
clima,med1m_umidinst,1039259,"67,1743116296863","10,1483094505893","57,026002179097","-1,82568837031366","12,25","61,21",69,"74,62","96,71",
